Product ID,Product Name,Category,Tier,Price,MRP,GST,Stock,Image,Description,Highlights,Active
instant-rasam-mix,Instant Rasam Mix,Traditional Masalas,regular,60,60,0,100,/assets/instant-rasam-mix.jpg,"Quick, comforting rasam powder with a tangy tamarind-pepper base and warming black pepper — ready in under 5 minutes.","[""5-minute preparation"",""Traditional tang"",""Digestive spices""]",TRUE
kayal-rasam-podi,Kayal Rasam Podi,Podi Products,regular,50,50,0,100,/assets/kayal-rasam-podi.jpg,"Aromatic rasam podi stone-ground from whole black pepper, cumin, and coriander — the heartbeat of a South Indian kitchen.","[""Stone-ground"",""No additives"",""Whole pepper & cumin""]",TRUE
kayal-keerai-podi-regular,Kayal Keerai Podi,Podi Products,regular,50,50,0,100,/assets/kayal-keerai-podi.jpg,"A nutritious greens podi crafted from dried spinach, lentils, and mild spices — healthy, quick, and deeply satisfying.","[""Greens-rich"",""Iron-boosting"",""Balanced mild spice""]",TRUE
kayal-keerai-podi-premium,Kayal Keerai Podi Premium,Podi Products,premium,100,100,0,100,/assets/kayal-keerai-podi-premium.jpg,Premium Keerai Podi with a higher proportion of dried drumstick leaves and moringa powder for enhanced nutrition.,"[""Moringa-enriched"",""High nutrition"",""Premium greens blend""]",TRUE
beachside-secret-fish-podi-regular,Beachside Secret Fish Podi,Podi Products,regular,50,50,0,100,/assets/beachside-secret-fish-podi.jpg,An age-old coastal fish podi with secret Kayalpatnam spice proportions — the perfect companion for fried fish and rice.,"[""Secret coastal blend"",""Perfect with fried fish"",""Traditional recipe""]",TRUE
beachside-secret-fish-podi-premium,Beachside Secret Fish Podi Premium,Podi Products,premium,100,100,0,100,/assets/beachside-secret-fish-podi-premium.jpg,Premium Beachside Fish Podi with hand-selected dried chilies and extra virgin sesame notes for an elevated coastal dining experience.,"[""Hand-selected chilies"",""Sesame notes"",""Premium coastal blend""]",TRUE
kayal-marunthu-satha-podi,Kayal Marunthu Satha Podi,Podi Products,regular,50,50,0,100,/assets/kayal-marunthu-satha-podi.jpg,A traditional healing rice podi made from medicinal herbs and warming spices — both nourishing and flavourful.,"[""Medicinal herbs"",""Healing properties"",""Traditional recipe""]",TRUE
andhra-paruppu-sadham-podi-regular,Andhra Paruppu Sadham Podi,Podi Products,regular,50,50,0,100,/assets/andhra-paruppu-sadham-podi.jpg,A fiery Andhra-style dal rice podi with roasted lentils and bold spice — a quick and satisfying meal companion.,"[""Andhra bold spice"",""Roasted lentils"",""Hearty & satisfying""]",TRUE
andhra-paruppu-sadham-podi-premium,Andhra Paruppu Sadham Podi Premium,Podi Products,premium,100,100,0,100,/assets/andhra-paruppu-sadham-podi-premium.jpg,"Premium Andhra Podi with a higher lentil-to-spice ratio and slow-roasted garlic for a richer, bolder flavour profile.","[""Slow-roasted garlic"",""Higher lentil ratio"",""Bold premium profile""]",TRUE
red-rice-noodles,Red Rice Noodles,Specialty Noodles,regular,80,80,0,100,/assets/red-rice-noodles.jpg,"Wholesome noodles crafted from traditional red rice — high in fibre, rich in antioxidants, and deliciously chewy.","[""Whole grain red rice"",""High fibre"",""Antioxidant-rich""]",TRUE
moringa-noodles,Moringa Noodles,Specialty Noodles,regular,80,80,0,100,/assets/moringa-noodles.jpg,Nutrient-dense noodles enriched with moringa leaf powder — a powerhouse of vitamins and minerals in every bite.,"[""Moringa-enriched"",""Vitamin-dense"",""Clean ingredients""]",TRUE
golden-milk-magic-regular,Golden Milk Magic,Health Mixes & Malts,regular,180,180,0,100,/assets/golden-milk-magic.jpg,"A warming turmeric-milk blend with black pepper, ginger, and cardamom — the South Indian golden latte experience.","[""Turmeric-forward"",""Ginger & cardamom"",""Warming & soothing""]",TRUE
golden-milk-magic-premium,Golden Milk Magic Premium,Health Mixes & Malts,premium,320,320,0,100,/assets/golden-milk-magic-premium.jpg,"Premium Golden Milk with organic turmeric, long pepper, and ashwagandha for enhanced anti-inflammatory and adaptogenic benefits.","[""Organic turmeric"",""Ashwagandha"",""Adaptogenic blend""]",TRUE
sukku-malli-herbal-kaafi,Sukku Malli Herbal Kaafi,Health Mixes & Malts,regular,180,180,0,100,/assets/sukku-malli-herbal-kaafi.jpg,"A traditional South Indian herbal coffee with dried ginger (sukku) and coriander seeds — warming, digestive, and caffeine-free.","[""Caffeine-free"",""Dried ginger blend"",""Digestive herbal infusion""]",TRUE
multi-millet-pongal-mix,Multi Millet Pongal Mix,Health Mixes & Malts,regular,180,180,0,100,/assets/multi-millet-pongal-mix.jpg,"A wholesome blend of multi-millets for the classic South Indian pongal — nutritious, gluten-friendly, and quick to prepare.","[""Multi-millet blend"",""Gluten-friendly"",""Wholesome & nutritious""]",TRUE
root-power-regular,Root Power,Health Mixes & Malts,regular,180,180,0,100,/assets/root-power.jpg,"A potent blend of traditional root herbs — turmeric, ginger, galangal, and more — to support immunity and vitality.","[""Root herb blend"",""Immunity support"",""Traditional wisdom""]",TRUE
root-power-premium,Root Power Premium,Health Mixes & Malts,premium,320,320,0,100,/assets/root-power-premium.jpg,Premium Root Power with a richer concentration of rare roots and certified organic herbs for maximum therapeutic benefit.,"[""Rare roots"",""Certified organic"",""Maximum potency""]",TRUE
abc-malt-regular,A.B.C. Malt,Health Mixes & Malts,regular,180,180,0,100,/assets/abc-malt.jpg,"Apple, Beetroot & Carrot malt — a natural energy booster packed with plant-based nutrients for daily wellness.","[""Apple · Beetroot · Carrot"",""Natural energy"",""Plant nutrients""]",TRUE
abc-malt-premium,A.B.C. Malt Premium,Health Mixes & Malts,premium,320,320,0,100,/assets/abc-malt-premium.jpg,Premium A.B.C. Malt with cold-pressed fruit extracts and added amla for a deeper nutritional profile and better bioavailability.,"[""Cold-pressed extracts"",""Amla-enriched"",""Superior bioavailability""]",TRUE
slim-sakthi,Slim Sakthi,Health Mixes & Malts,regular,180,180,0,100,/assets/slim-sakthi.jpg,A traditional herbal slimming blend curated from metabolism-supporting herbs and seeds — supporting a healthy lifestyle naturally.,"[""Herbal slimming blend"",""Metabolism support"",""No stimulants""]",TRUE
kavunirich,Kavunirich,Health Mixes & Malts,regular,180,180,0,100,/assets/kavunirich.jpg,"A rich kavuni (black sticky rice) malt blend — deeply nutritious, antioxidant-laden, and traditionally prized in coastal Tamil Nadu.","[""Black sticky rice"",""Antioxidant-rich"",""Coastal tradition""]",TRUE
health-mix-multigrains,Health Mix Multigrains,Health Mixes & Malts,regular,180,180,0,100,/assets/health-mix-multigrains.jpg,"A wholesome multigrain health mix with roasted cereals, millets, and legumes — a complete nutritional meal for all ages.","[""Multi-cereal blend"",""Suitable for all ages"",""Complete nutrition""]",TRUE
nannari-sukku-powder,Nannari Sukku Powder,Health Mixes & Malts,regular,180,180,0,100,/assets/nannari-sukku-powder.jpg,A cooling and digestive herbal powder combining nannari (sarsaparilla) and dried ginger — a traditional South Indian remedy for summer wellness.,"[""Cooling properties"",""Digestive aid"",""Sarsaparilla & ginger""]",TRUE
kindiya-kaayam,Kindiya Kaayam,PeruKalam Legiyam,regular,250,250,0,100,/assets/kindiya-kaayam.jpg,A traditional PeruKalam legiyam (herbal paste) crafted from time-tested Siddha herbs for digestive strength and holistic wellness.,"[""Siddha herb recipe"",""Digestive strength"",""Holistic wellness""]",TRUE
